,temperature,rain_1h,snow_1h,clouds_percentage,population_density_categorical,hour,holiday_Christmas Day,holiday_Columbus Day,holiday_Independence Day,holiday_Labor Day,holiday_Martin Luther King Jr Day,holiday_Memorial Day,holiday_New Years Day,holiday_None,holiday_State Fair,holiday_Thanksgiving Day,holiday_Veterans Day,holiday_Washingtons Birthday
31094,279.514,0.0,0.0,8,2,21,0,0,0,0,0,0,0,1,0,0,0,0
12330,267.4,0.0,0.0,75,0,3,0,0,0,0,0,0,0,1,0,0,0,0
37900,282.08,0.0,0.0,90,2,18,0,0,0,0,0,0,0,1,0,0,0,0
44589,290.94,0.0,0.0,75,3,6,0,0,0,0,0,0,0,1,0,0,0,0
36848,298.14,0.0,0.0,40,3,14,0,0,0,0,0,0,0,1,0,0,0,0
309,279.82,0.0,0.0,100,4,8,0,0,0,0,0,0,0,1,0,0,0,0
47647,291.08,0.0,0.0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0
25198,296.1,0.0,0.0,75,0,4,0,0,0,0,0,0,0,1,0,0,0,0
20914,273.48,0.0,0.0,90,1,21,0,0,0,0,0,0,0,1,0,0,0,0
5723,277.23,0.0,0.0,1,2,22,0,0,0,0,0,0,0,1,0,0,0,0
36716,292.15,0.0,0.0,40,1,21,0,0,0,0,0,0,0,1,0,0,0,0
28821,275.21,0.0,0.0,90,2,17,0,0,0,0,0,0,0,1,0,0,0,0
14658,301.05,0.0,0.0,75,2,13,0,0,0,0,0,0,0,1,0,0,0,0
32342,283.65,0.0,0.0,90,4,16,0,0,0,0,0,0,0,1,0,0,0,0
12900,278.97,0.0,0.0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28906,264.89,0.0,0.0,90,2,19,0,0,0,0,0,0,0,1,0,0,0,0
27510,288.818,0.0,0.0,0,2,14,0,0,0,0,0,0,0,1,0,0,0,0
46703,299.95,0.0,0.0,75,3,11,0,0,0,0,0,0,0,1,0,0,0,0
33481,283.15,0.0,0.0,90,4,6,0,0,0,0,0,0,0,1,0,0,0,0
8074,290.3,0.51,0.0,92,3,9,0,0,0,0,0,0,0,1,0,0,0,0
44491,294.87,0.0,0.0,90,2,19,0,0,0,0,0,0,0,1,0,0,0,0
2580,255.99,0.0,0.0,1,1,21,0,0,0,0,0,0,0,1,0,0,0,0
20095,266.46,0.0,0.0,40,3,13,0,0,0,0,0,0,0,1,0,0,0,0
27955,283.75,0.0,0.0,1,1,20,0,0,0,0,0,0,0,1,0,0,0,0
33121,273.42,0.0,0.0,90,4,8,0,0,0,0,0,0,0,1,0,0,0,0
30259,275.21,0.0,0.0,90,0,4,0,0,0,0,0,0,0,1,0,0,0,0
7989,284.67,0.0,0.0,48,0,3,0,0,0,0,0,0,0,1,0,0,0,0
7384,300.47,0.0,0.0,1,4,17,0,0,0,0,0,0,0,1,0,0,0,0
32720,287.75,0.0,0.0,90,1,8,0,0,0,0,0,0,0,1,0,0,0,0
19578,276.49,0.0,0.0,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10370,273.93,0.0,0.0,64,3,17,0,0,0,0,0,0,0,1,0,0,0,0
41424,260.85,0.0,0.0,5,3,12,0,0,0,0,0,0,0,1,0,0,0,0
3899,266.03,0.0,0.0,90,0,23,0,0,0,0,0,0,0,1,0,0,0,0
1221,277.1,0.0,0.0,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45753,298.62,0.0,0.0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0
24788,298.15,0.0,0.0,75,2,19,0,0,0,0,0,0,0,1,0,0,0,0
28010,272.28,0.0,0.0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0
24416,287.11,0.0,0.0,1,3,6,0,0,0,0,0,0,0,1,0,0,0,0
7269,292.69,0.0,0.0,48,0,3,0,0,0,0,0,0,0,1,0,0,0,0
39277,273.72,0.0,0.0,1,0,23,0,0,0,0,0,0,0,1,0,0,0,0
25819,296.15,0.0,0.0,0,3,9,0,0,0,0,0,0,0,1,0,0,0,0
27408,284.634,0.0,0.0,64,1,23,0,0,0,0,0,0,0,1,0,0,0,0
29315,269.03,0.0,0.0,1,2,22,0,0,0,0,0,0,0,1,0,0,0,0
14387,278.5,0.0,0.0,40,0,3,0,0,0,0,0,0,0,1,0,0,0,0
17879,297.44,0.0,0.0,1,3,10,0,0,0,0,0,0,0,1,0,0,0,0
13349,275.33,0.0,0.0,20,4,17,0,0,0,0,0,0,0,1,0,0,0,0
37377,300.96,0.0,0.0,1,1,23,0,0,0,0,0,0,0,1,0,0,0,0
23308,279.0,0.0,0.0,75,1,5,0,0,0,0,0,0,0,1,0,0,0,0
16643,300.74,0.0,0.0,75,3,13,0,0,0,0,0,0,0,1,0,0,0,0
21354,271.08,0.0,0.0,90,3,14,0,0,0,0,0,0,0,1,0,0,0,0
42836,266.92,0.0,0.0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0
19350,280.69,0.0,0.0,90,3,12,0,0,0,0,0,0,0,1,0,0,0,0
18075,291.35,0.3,0.0,1,3,6,0,0,0,0,0,0,0,1,0,0,0,0
43824,284.55,0.0,0.0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0
27344,291.628,0.0,0.0,88,0,2,0,0,0,0,0,0,0,1,0,0,0,0
45816,297.89,0.0,0.0,40,4,15,0,0,0,0,0,0,0,1,0,0,0,0
25804,300.93,0.0,0.0,8,2,18,0,0,0,0,0,0,0,1,0,0,0,0
47542,289.36,0.0,0.0,20,1,21,0,0,0,0,0,0,0,1,0,0,0,0
43038,272.16,0.0,0.0,90,3,16,0,0,0,0,0,0,0,1,0,0,0,0
25421,296.78,0.0,0.0,75,0,23,0,0,0,0,0,0,0,1,0,0,0,0
30613,273.28,0.0,0.0,90,2,13,0,0,0,0,0,0,0,1,0,0,0,0
44410,306.58,0.0,0.0,1,2,17,0,0,0,0,0,0,0,1,0,0,0,0
42929,260.28,0.0,0.0,5,3,7,0,0,0,0,0,0,0,1,0,0,0,0
38637,274.38,0.0,0.0,90,0,4,0,0,0,0,0,0,0,1,0,0,0,0
7127,295.52,7.54,0.0,76,0,3,0,0,0,0,0,0,0,1,0,0,0,0
29176,259.79,0.0,0.0,90,3,8,0,0,0,0,0,0,0,1,0,0,0,0
38458,275.72,0.0,0.0,90,2,12,0,0,0,0,0,0,0,1,0,0,0,0
23285,281.28,0.25,0.0,1,4,6,0,0,0,0,0,0,0,1,0,0,0,0
16819,292.97,1.09,0.0,75,3,7,0,0,0,0,0,0,0,1,0,0,0,0
4026,265.56,0.0,0.0,1,2,22,0,0,0,0,0,0,0,1,0,0,0,0
33079,275.88,0.0,0.0,90,3,11,0,0,0,0,0,0,0,1,0,0,0,0
32555,274.09,0.0,0.0,90,0,23,0,0,0,0,0,0,0,1,0,0,0,0
27380,290.27099999999996,0.0,0.0,76,2,19,0,0,0,0,0,0,0,1,0,0,0,0
8652,302.99,0.0,0.0,0,2,18,0,0,0,0,0,0,0,1,0,0,0,0
11968,256.8,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45470,294.21,0.0,0.0,90,1,8,0,0,0,0,0,0,0,1,0,0,0,0
52,297.67,0.0,0.0,20,4,17,0,0,0,0,0,0,0,1,0,0,0,0
23982,288.55,0.0,0.0,40,2,5,0,0,0,0,0,0,0,1,0,0,0,0
44530,294.79,0.0,0.0,90,4,15,0,0,0,0,0,0,0,1,0,0,0,0
36606,290.79,0.0,0.0,90,2,23,0,0,0,0,0,0,0,1,0,0,0,0
9318,284.55,0.0,0.0,90,4,13,0,0,0,0,0,0,0,1,0,0,0,0
23399,290.19,0.0,0.0,40,3,17,0,0,0,0,0,0,0,1,0,0,0,0
4904,278.39,0.0,0.0,90,0,23,0,0,0,0,0,0,0,1,0,0,0,0
3607,274.01,0.0,0.0,90,2,19,0,0,0,0,0,0,0,1,0,0,0,0
2423,264.36,0.0,0.0,40,3,14,0,0,0,0,0,0,0,1,0,0,0,0
9583,273.74,0.0,0.0,90,0,5,0,0,0,0,0,0,0,1,0,0,0,0
22542,294.89,0.0,0.0,90,4,17,0,0,0,0,0,0,0,1,0,0,0,0
46658,302.75,0.0,0.0,1,3,14,0,0,0,0,0,0,0,1,0,0,0,0
32176,276.09,0.0,0.0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0
7575,297.66,0.0,0.0,92,3,12,0,0,0,0,0,0,0,1,0,0,0,0
45406,299.65,0.0,0.0,40,1,22,0,0,0,0,0,0,0,1,0,0,0,0
1588,272.33,0.0,0.0,90,1,22,0,0,0,0,0,0,0,1,0,0,0,0
32508,286.72,0.0,0.0,90,1,21,0,0,0,0,0,0,0,1,0,0,0,0
13427,272.75,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44606,292.58,0.0,0.0,1,1,23,0,0,0,0,0,0,0,1,0,0,0,0
19214,275.08,0.0,0.0,90,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13986,278.59,1.0,0.0,90,4,7,0,0,0,0,0,0,0,1,0,0,0,0
2701,262.42,0.0,0.0,1,1,23,0,0,0,0,0,0,0,1,0,0,0,0
27663,286.107,0.0,0.0,56,1,23,0,0,0,0,0,0,0,1,0,0,0,0
39244,276.72,0.0,0.0,20,3,14,0,0,0,0,0,0,0,1,0,0,0,0
26545,289.94,0.0,0.0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0
22792,283.48,0.76,0.0,90,2,10,0,0,0,0,0,0,0,1,0,0,0,0
24716,290.53,0.0,0.0,40,0,3,0,0,0,0,0,0,0,1,0,0,0,0
17152,295.07,0.81,0.0,75,4,16,0,0,0,0,0,0,0,1,0,0,0,0
26401,295.12,0.0,0.0,1,1,21,0,0,0,0,0,0,0,1,0,0,0,0
7388,294.59,0.0,0.0,1,1,21,0,0,0,0,0,0,0,1,0,0,0,0
9587,274.8,0.0,0.0,90,2,10,0,0,0,0,0,0,0,1,0,0,0,0
16728,296.46,0.0,0.0,40,2,19,0,0,0,0,0,0,0,1,0,0,0,0
16801,298.95,0.0,0.0,1,2,20,0,0,0,0,0,0,0,1,0,0,0,0
34861,286.23,0.0,0.0,1,0,23,0,0,0,0,0,0,0,1,0,0,0,0
2291,260.86,0.0,0.0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0
8645,299.9,0.0,0.0,36,2,11,0,0,0,0,0,0,0,1,0,0,0,0
32852,280.62,0.0,0.0,90,2,19,0,0,0,0,0,0,0,1,0,0,0,0
25105,294.44,4.57,0.0,75,1,5,0,0,0,0,0,0,0,1,0,0,0,0
11650,255.57,0.0,0.0,64,4,16,0,0,0,0,0,0,0,1,0,0,0,0
44898,292.34,0.0,0.0,40,0,3,0,0,0,0,0,0,0,1,0,0,0,0
26990,283.23,0.0,0.0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0
16205,288.04,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2799,272.08,0.0,0.0,20,4,17,0,0,0,0,0,0,0,1,0,0,0,0
44935,298.88,0.0,0.0,1,4,16,0,0,0,0,0,0,0,1,0,0,0,0
31497,275.59,0.0,0.0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0
21088,269.51,0.0,0.0,90,0,4,0,0,0,0,0,0,0,1,0,0,0,0
30039,262.15,0.0,0.0,1,2,11,0,0,0,0,0,0,0,1,0,0,0,0
7969,288.56,0.0,0.0,8,1,7,0,0,0,0,0,0,0,1,0,0,0,0
32178,276.09,0.0,0.0,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0
36899,287.84,0.0,0.0,75,2,17,0,0,0,0,0,0,0,1,0,0,0,0
38460,277.57,0.0,0.0,90,3,14,0,0,0,0,0,0,0,1,0,0,0,0
38399,273.86,0.0,0.0,90,3,13,0,0,0,0,0,0,0,1,0,0,0,0
32897,279.55,0.0,0.0,90,3,12,0,0,0,0,0,0,0,1,0,0,0,0
40539,264.91,0.0,0.0,90,3,7,0,0,0,0,0,0,0,1,0,0,0,0
46632,300.51,0.0,0.0,1,2,20,0,0,0,0,0,0,0,1,0,0,0,0
3393,270.52,0.0,0.0,75,3,13,0,0,0,0,0,0,0,1,0,0,0,0
25450,294.33,0.0,0.0,20,0,4,0,0,0,0,0,0,0,1,0,0,0,0
28210,273.62,0.0,0.0,90,2,17,0,0,0,0,0,0,0,1,0,0,0,0
8217,289.47,7.11,0.0,92,0,3,0,0,0,0,0,0,0,1,0,0,0,0
45091,294.36,0.0,0.0,90,3,12,0,0,0,0,0,0,0,1,0,0,0,0
14316,277.3,0.0,0.0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0
45633,291.58,0.0,0.0,5,1,7,0,0,0,0,0,0,0,1,0,0,0,0
9081,291.13,0.0,0.0,1,2,20,0,0,0,0,0,0,0,1,0,0,0,0
39981,267.51,0.0,0.0,40,1,22,0,0,0,0,0,0,0,1,0,0,0,0
26507,293.5,0.0,0.0,40,3,13,0,0,0,0,0,0,0,1,0,0,0,0
45085,292.88,0.0,0.0,90,2,10,0,0,0,0,0,0,0,1,0,0,0,0
20401,258.93,0.0,0.0,1,3,8,0,0,0,0,0,0,0,1,0,0,0,0
19285,282.23,0.0,0.0,1,0,23,0,0,0,0,0,0,0,1,0,0,0,0
26967,280.36,0.0,0.0,0,4,7,0,0,0,0,0,0,0,1,0,0,0,0
10782,276.793,0.0,0.0,64,0,23,0,0,0,0,0,0,0,1,0,0,0,0
11881,263.8,1.91,0.0,90,2,10,0,0,0,0,0,0,0,1,0,0,0,0
42863,271.53,0.0,0.0,90,1,22,0,0,0,0,0,0,0,1,0,0,0,0
13191,261.57,0.0,0.0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0
3615,273.45,0.0,0.0,90,2,22,0,0,0,0,0,0,0,1,0,0,0,0
5685,275.2,0.0,0.0,90,3,13,0,0,0,0,0,0,0,1,0,0,0,0
38809,261.51,0.0,0.0,1,3,6,0,0,0,0,0,0,0,1,0,0,0,0
2023,270.29,0.0,0.0,75,2,11,0,0,0,0,0,0,0,1,0,0,0,0
6642,287.34,0.0,0.0,40,3,12,0,0,0,0,0,0,0,1,0,0,0,0
27358,292.535,0.0,0.0,88,2,18,0,0,0,0,0,0,0,1,0,0,0,0
23117,292.93,0.0,0.0,40,3,18,0,0,0,0,0,0,0,1,0,0,0,0
875,275.67,0.0,0.0,90,1,22,0,0,0,0,0,0,0,1,0,0,0,0
47043,291.48,1.78,0.0,90,2,9,0,0,0,0,0,0,0,1,0,0,0,0
30638,273.82,0.0,0.0,75,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19236,279.51,0.0,0.0,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7170,295.2,0.0,0.0,90,2,5,0,0,0,0,0,0,0,1,0,0,0,0
2340,261.78,0.0,0.0,40,0,4,0,0,0,0,0,0,0,1,0,0,0,0
22619,286.36,0.0,0.0,90,1,22,0,0,0,0,0,0,0,1,0,0,0,0
11719,268.3,0.0,0.0,64,3,10,0,0,0,0,0,0,0,1,0,0,0,0
11562,276.793,0.0,0.0,64,1,22,0,0,0,0,0,0,0,1,0,0,0,0
38326,281.08,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
