,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density,holiday_Christmas Day,holiday_Columbus Day,holiday_Independence Day,holiday_Labor Day,holiday_Martin Luther King Jr Day,holiday_Memorial Day,holiday_New Years Day,holiday_None,holiday_State Fair,holiday_Thanksgiving Day,holiday_Veterans Day,holiday_Washingtons Birthday
28471,254.68,0.0,0.0,40,7,1870,0,0,0,0,0,0,0,1,0,0,0,0
26259,277.56,0.0,0.0,90,14,4251,0,0,0,0,0,0,0,1,0,0,0,0
33232,291.5,0.0,0.0,1,3,423,0,0,0,0,0,0,0,1,0,0,0,0
36423,271.36,0.0,0.0,5,9,2666,0,0,0,0,0,0,0,1,0,0,0,0
27925,293.55,0.0,0.0,75,10,4765,0,0,0,0,0,0,0,1,0,0,0,0
14765,273.48,2.11,0.0,90,21,2125,0,0,0,0,0,0,0,1,0,0,0,0
42299,272.36,0.0,0.0,1,14,5358,0,0,0,0,0,0,0,1,0,0,0,0
27640,270.87,0.0,0.0,75,20,2093,0,0,0,0,0,0,0,1,0,0,0,0
19255,271.35,0.0,0.0,90,13,4352,0,0,0,0,0,0,0,1,0,0,0,0
32476,298.88,0.0,0.0,40,18,4548,0,0,0,0,0,0,0,1,0,0,0,0
14820,271.86,0.0,0.0,90,9,3745,0,0,0,0,0,0,0,1,0,0,0,0
7263,292.36,0.0,0.0,90,22,1617,0,0,0,0,0,0,0,1,0,0,0,0
13271,270.11,0.0,0.0,64,1,624,0,0,0,0,0,0,0,1,0,0,0,0
21604,291.94,0.0,0.0,90,8,5990,0,0,0,0,0,0,0,1,0,0,0,0
9029,283.22,0.0,0.0,90,5,559,0,0,0,0,0,0,0,1,0,0,0,0
17607,257.54,0.0,0.0,20,9,3453,0,0,0,0,0,0,0,1,0,0,0,0
4694,290.88,0.0,0.0,75,19,3898,0,0,0,0,0,0,0,1,0,0,0,0
21212,292.87,1.4,0.0,90,23,921,0,0,0,0,0,0,0,1,0,0,0,0
22215,291.48,0.0,0.0,90,10,4368,0,0,0,0,0,0,0,1,0,0,0,0
41703,296.57,0.3,0.0,90,8,1936,0,0,0,0,0,0,0,1,0,0,0,0
4870,290.84,0.0,0.0,40,22,2651,0,0,0,0,0,0,0,1,0,0,0,0
31575,287.67,0.0,0.0,0,3,345,0,0,0,0,0,0,0,1,0,0,0,0
4955,261.36,0.0,0.0,20,9,2304,0,0,0,0,0,0,0,1,0,0,0,0
42854,291.75,0.0,0.0,90,10,4260,0,0,0,0,0,0,0,1,0,0,0,0
26921,294.14,0.0,0.0,76,22,2230,0,0,0,0,0,0,0,1,0,0,0,0
11904,276.0,0.0,0.0,90,15,5936,0,0,0,0,0,0,0,1,0,0,0,0
4957,279.65,0.0,0.0,1,1,739,0,0,0,0,0,0,0,1,0,0,0,0
11736,273.85,0.0,0.0,90,0,485,0,0,0,0,0,0,0,1,0,0,0,0
16893,250.79,0.0,0.0,1,5,1761,0,0,0,0,0,0,0,1,0,0,0,0
24442,287.91,0.0,0.0,1,5,2954,0,0,0,0,0,0,0,1,0,0,0,0
13998,293.51,0.0,0.0,5,7,1084,0,0,0,0,0,0,0,1,0,0,0,0
29703,266.29,0.0,0.0,90,1,415,0,0,0,0,0,0,0,1,0,0,0,0
2136,292.87,0.0,0.0,40,23,2511,0,0,0,0,0,0,0,1,0,0,0,0
19047,298.77,0.0,0.0,1,19,3558,0,0,0,0,0,0,0,1,0,0,0,0
30902,271.25,0.0,0.0,75,2,235,0,0,0,0,0,0,0,1,0,0,0,0
26684,292.22,0.0,0.0,90,2,340,0,0,0,0,0,0,0,1,0,0,0,0
6111,280.13,0.0,0.0,90,9,3816,0,0,0,0,0,0,0,1,0,0,0,0
550,287.96,1.72,0.0,90,2,227,0,0,0,0,0,0,0,1,0,0,0,0
40330,287.75,0.0,0.0,40,20,3239,0,0,0,0,0,0,0,1,0,0,0,0
33403,294.89,0.0,0.0,1,22,2129,0,0,0,0,0,0,0,1,0,0,0,0
36666,283.23,0.25,0.0,92,7,6787,0,0,0,0,0,0,0,1,0,0,0,0
33987,269.69,0.0,0.0,90,19,3447,0,0,0,0,0,0,0,1,0,0,0,0
36531,254.93,0.0,0.0,40,12,4997,0,0,0,0,0,0,0,1,0,0,0,0
1286,270.52,0.0,0.0,1,11,4860,0,0,0,0,0,0,0,1,0,0,0,0
5214,257.86,0.0,0.0,75,17,4437,0,0,0,0,0,0,0,1,0,0,0,0
13265,274.0,0.0,0.0,90,9,5220,0,0,0,0,0,0,0,1,0,0,0,0
17403,250.43,0.0,0.0,1,5,2544,0,0,0,0,0,0,0,1,0,0,0,0
23241,293.55,0.0,0.0,75,9,4886,0,0,0,0,0,0,0,1,0,0,0,0
37907,272.86,0.0,0.0,90,17,6125,0,0,0,0,0,0,0,1,0,0,0,0
24375,290.36,0.0,0.0,90,19,3113,0,0,0,0,0,0,0,1,0,0,0,0
5654,281.06,0.0,0.0,90,5,2579,0,0,0,0,0,0,0,1,0,0,0,0
42514,267.38,0.0,0.0,40,20,2777,0,0,0,0,0,0,0,1,0,0,0,0
16349,274.75,0.0,0.0,90,17,5954,0,0,0,0,0,0,0,1,0,0,0,0
9448,294.07,0.0,0.0,90,9,4654,0,0,0,0,0,0,0,1,0,0,0,0
9654,296.28,0.0,0.0,1,23,1371,0,0,0,0,0,0,0,1,0,0,0,0
1608,269.87,0.25,0.0,64,21,2107,0,0,0,0,0,0,0,1,0,0,0,0
16621,266.08,0.0,0.0,90,10,4297,0,0,0,0,0,0,0,1,0,0,0,0
34028,291.42,0.0,0.0,90,7,6790,0,0,0,0,0,0,0,1,0,0,0,0
25766,256.28,0.0,0.0,1,1,321,0,0,0,0,0,0,0,1,0,0,0,0
37077,265.76,0.0,0.0,90,9,1574,0,0,0,0,0,0,0,1,0,0,0,0
39153,283.8,0.0,0.0,90,10,4702,0,0,0,0,0,0,0,1,0,0,0,0
8296,289.69,0.0,0.0,1,4,957,0,0,0,0,0,0,0,1,0,0,0,0
27064,285.59,0.0,0.0,92,17,5442,0,0,0,0,0,0,0,1,0,0,0,0
17741,284.35,1.02,0.0,90,11,3929,0,0,0,0,0,0,0,1,0,0,0,0
7944,285.73,0.0,0.0,90,6,5593,0,0,0,0,0,0,0,1,0,0,0,0
35726,268.7,0.0,0.0,40,7,6660,0,0,0,0,0,0,0,1,0,0,0,0
40504,305.06,0.0,0.0,0,14,5698,0,0,0,0,0,0,0,1,0,0,0,0
15106,272.82,0.0,0.0,1,22,1662,0,0,0,0,0,0,0,1,0,0,0,0
15950,274.82,0.0,0.0,90,6,5425,0,0,0,0,0,0,0,1,0,0,0,0
28571,291.628,0.0,0.0,88,3,391,0,0,0,0,0,0,0,1,0,0,0,0
39826,292.72,1.02,0.0,90,12,4385,0,0,0,0,0,0,0,1,0,0,0,0
24237,294.58,0.0,0.0,75,16,5952,0,0,0,0,0,0,0,1,0,0,0,0
42375,274.51,0.0,0.0,90,17,3386,0,0,0,0,0,0,0,1,0,0,0,0
32037,262.43,0.0,0.0,90,3,291,0,0,0,0,0,0,0,1,0,0,0,0
6060,280.8,0.0,0.0,90,16,4135,0,0,0,0,0,0,0,1,0,0,0,0
33182,272.65,0.0,0.0,5,8,6214,0,0,0,0,0,0,0,1,0,0,0,0
30782,267.95,0.0,0.0,1,1,418,0,0,0,0,0,0,0,1,0,0,0,0
22459,295.69,0.0,0.0,75,1,476,0,0,0,0,0,0,0,1,0,0,0,0
12348,262.12,0.0,0.0,1,6,4526,0,0,0,0,0,0,0,1,0,0,0,0
29752,280.423,0.0,0.0,0,5,721,0,0,0,0,0,0,0,1,0,0,0,0
31109,289.47,0.0,0.0,75,11,4969,0,0,0,0,0,0,0,1,0,0,0,0
20490,288.72,0.0,0.0,90,16,6094,0,0,0,0,0,0,0,1,0,0,0,0
33329,272.58,0.0,0.0,1,0,1335,0,0,0,0,0,0,0,1,0,0,0,0
18222,290.49,2.54,0.0,90,5,520,0,0,0,0,0,0,0,1,0,0,0,0
10334,297.25,0.0,0.0,0,20,3368,0,0,0,0,0,0,0,1,0,0,0,0
41714,274.08,0.0,0.0,90,0,480,0,0,0,0,0,0,0,1,0,0,0,0
985,289.28,0.0,0.0,75,18,3333,0,0,0,0,0,0,0,1,0,0,0,0
33345,255.93,0.0,0.0,0,7,5363,0,0,0,0,0,0,0,1,0,0,0,0
40799,282.75,0.0,0.0,75,15,4966,0,0,0,0,0,0,0,1,0,0,0,0
22881,292.74,0.0,0.0,0,23,2233,0,0,0,0,0,0,0,1,0,0,0,0
36690,294.92,16.51,0.0,32,7,5724,0,0,0,0,0,0,0,1,0,0,0,0
6013,275.34,0.0,0.0,90,12,5316,0,0,0,0,0,0,0,1,0,0,0,0
20911,296.58,0.0,0.0,75,12,4824,0,0,0,0,0,0,0,1,0,0,0,0
40329,297.95,0.0,0.0,5,21,3239,0,0,0,0,0,0,0,1,0,0,0,0
29780,270.55,0.0,0.0,5,9,5177,0,0,0,0,0,0,0,1,0,0,0,0
8925,272.42,0.0,0.0,90,10,2892,0,0,0,0,0,0,0,1,0,0,0,0
15744,276.793,0.0,0.0,64,15,4290,0,0,0,0,0,0,0,1,0,0,0,0
39231,279.68,0.0,0.0,64,23,990,0,0,0,0,0,0,0,1,0,0,0,0
12307,283.8,0.0,0.0,40,23,2033,0,0,0,0,0,0,0,1,0,0,0,0
4641,299.35,0.0,0.0,1,14,5289,0,0,0,0,0,0,0,1,0,0,0,0
11596,296.17,0.0,0.0,0,17,6015,0,0,0,0,0,0,0,1,0,0,0,0
2293,279.87,0.0,0.0,1,15,5706,0,0,0,0,0,0,0,1,0,0,0,0
34016,259.17,0.0,0.0,20,17,2606,0,0,0,0,0,0,0,1,0,0,0,0
6755,296.32,0.0,0.0,90,2,341,0,0,0,0,0,0,0,1,0,0,0,0
7907,268.74,0.0,0.0,1,7,6852,0,0,0,0,0,0,0,1,0,0,0,0
42539,283.32,0.25,0.0,76,15,5351,0,0,0,0,0,0,0,1,0,0,0,0
30017,291.09,0.0,0.0,90,12,4250,0,0,0,0,0,0,0,1,0,0,0,0
38367,297.93,0.0,0.0,1,12,4759,0,0,0,0,0,0,0,1,0,0,0,0
30819,295.32,0.0,0.0,92,12,5780,0,0,0,0,0,0,0,1,0,0,0,0
5511,298.35,0.0,0.0,20,2,440,0,0,0,0,0,0,0,1,0,0,0,0
4895,290.89,0.0,0.0,40,19,3301,0,0,0,0,0,0,0,1,0,0,0,0
28181,292.28,0.0,0.0,90,6,5677,0,0,0,0,0,0,0,1,0,0,0,0
131,283.63,0.0,0.0,0,3,414,0,0,0,0,0,0,0,1,0,0,0,0
34332,271.95,0.0,0.0,1,7,1084,0,0,0,0,0,0,0,1,0,0,0,0
29515,272.5,0.0,0.0,90,3,349,0,0,0,0,0,0,0,1,0,0,0,0
2461,275.65,0.0,0.0,75,22,3054,0,0,0,0,0,0,0,1,0,0,0,0
18306,271.87,0.0,0.0,90,11,3587,0,0,0,0,0,0,0,1,0,0,0,0
18344,294.49,0.25,0.0,1,1,801,0,0,0,0,0,0,0,1,0,0,0,0
18270,293.34,0.0,0.0,5,8,5908,0,0,0,0,0,0,0,1,0,0,0,0
32434,284.72,0.0,0.0,90,1,333,0,0,0,0,0,0,0,1,0,0,0,0
25777,289.56,0.25,0.0,90,6,1034,0,0,0,0,0,0,0,1,0,0,0,0
16425,270.22,0.0,0.0,40,7,6513,0,0,0,0,0,0,0,1,0,0,0,0
39601,279.15,0.0,0.0,75,13,5240,0,0,0,0,0,0,0,1,0,0,0,0
39218,255.91,0.0,0.0,5,14,5078,0,0,0,0,0,0,0,1,0,0,0,0
25772,275.36,0.0,0.0,90,9,5132,0,0,0,0,0,0,0,1,0,0,0,0
10447,280.42,0.0,0.0,90,21,2356,0,0,0,0,0,0,0,1,0,0,0,0
7502,287.55,0.0,0.0,1,3,409,0,0,0,0,0,0,0,1,0,0,0,0
20882,294.57,0.0,0.0,1,5,501,0,0,0,0,0,0,0,1,0,0,0,0
7496,263.4,0.0,0.0,1,8,2985,0,0,0,0,0,0,0,1,0,0,0,0
8074,287.84,0.0,0.0,75,17,3883,0,0,0,0,0,0,0,1,0,0,0,0
5409,265.12,0.0,0.0,90,10,4046,0,0,0,0,0,0,0,1,0,0,0,0
29151,293.2,0.28,0.0,90,10,4056,0,0,0,0,0,0,0,1,0,0,0,0
30405,288.13,0.0,0.0,75,21,3226,0,0,0,0,0,0,0,1,0,0,0,0
32297,298.27,0.55,0.0,75,17,5319,0,0,0,0,0,0,0,1,0,0,0,0
10317,254.4,0.0,0.0,90,21,2366,0,0,0,0,0,0,0,1,0,0,0,0
3348,290.225,0.0,0.0,0,7,5401,0,0,0,0,0,0,0,1,0,0,0,0
6686,298.97,0.0,0.0,75,20,2495,0,0,0,0,0,0,0,1,0,0,0,0
15736,298.78,0.0,0.0,75,18,4059,0,0,0,0,0,0,0,1,0,0,0,0
21312,295.76,0.0,0.0,0,15,6000,0,0,0,0,0,0,0,1,0,0,0,0
32430,286.01,0.0,0.0,40,12,5015,0,0,0,0,0,0,0,1,0,0,0,0
41170,275.02,0.0,0.0,90,10,4695,0,0,0,0,0,0,0,1,0,0,0,0
25561,297.7,0.0,0.0,75,1,592,0,0,0,0,0,0,0,1,0,0,0,0
12587,294.05,0.0,0.0,90,14,5383,0,0,0,0,0,0,0,1,0,0,0,0
17594,281.96,0.0,0.0,90,19,3545,0,0,0,0,0,0,0,1,0,0,0,0
11435,282.21,0.0,0.0,90,18,4479,0,0,0,0,0,0,0,1,0,0,0,0
29397,290.48,0.0,0.0,90,2,287,0,0,0,0,0,0,0,1,0,0,0,0
17367,270.29,0.0,0.0,1,23,2231,0,0,0,0,0,0,0,1,0,0,0,0
33873,301.65,0.0,0.0,75,18,4989,0,0,0,0,0,0,0,1,0,0,0,0
3290,270.59,0.0,0.0,1,0,777,0,0,0,0,0,0,0,1,0,0,0,0
2083,286.71,0.0,0.0,90,11,3351,0,0,0,0,0,0,0,1,0,0,0,0
21419,291.42,0.0,0.0,90,19,3340,0,0,0,0,0,0,0,1,0,0,0,0
7413,295.86,1.52,0.0,90,14,5182,0,0,0,0,0,0,0,1,0,0,0,0
9651,277.02,0.0,0.0,1,5,2622,0,0,0,0,0,0,0,1,0,0,0,0
3382,289.86,0.0,0.0,40,10,4857,0,0,0,0,0,0,0,1,0,0,0,0
3734,250.41,0.0,0.0,3,10,3885,0,0,0,0,0,0,0,1,0,0,0,0
43308,277.671,0.0,0.0,64,8,2001,0,0,0,0,0,0,0,1,0,0,0,0
5693,287.8,0.0,0.0,0,10,3954,0,0,0,0,0,0,0,1,0,0,0,0
18602,285.69,0.0,0.0,48,23,1387,0,0,0,0,0,0,0,1,0,0,0,0
16008,295.84,0.0,0.0,88,0,1465,0,0,0,0,0,0,0,1,0,0,0,0
11846,271.34,0.0,0.0,90,8,6144,0,0,0,0,0,0,0,1,0,0,0,0
32119,286.71,0.0,0.0,90,3,409,0,0,0,0,0,0,0,1,0,0,0,0
1645,264.05,0.0,0.0,1,22,2457,0,0,0,0,0,0,0,1,0,0,0,0
30193,270.62,0.0,0.0,1,6,5524,0,0,0,0,0,0,0,1,0,0,0,0
8759,292.08,0.51,0.0,1,23,1641,0,0,0,0,0,0,0,1,0,0,0,0
8277,272.91,0.0,0.0,90,7,5960,0,0,0,0,0,0,0,1,0,0,0,0
42022,299.5,0.0,0.0,44,20,3190,0,0,0,0,0,0,0,1,0,0,0,0
32988,281.4,0.0,0.0,90,5,2593,0,0,0,0,0,0,0,1,0,0,0,0
38696,269.34,0.0,0.0,64,6,5755,0,0,0,0,0,0,0,1,0,0,0,0
37816,250.56,0.0,0.0,75,8,5549,0,0,0,0,0,0,0,1,0,0,0,0
31558,268.04,0.0,0.0,90,7,2098,0,0,0,0,0,0,0,1,0,0,0,0
1346,293.3,0.0,0.0,1,0,688,0,0,0,0,0,0,0,1,0,0,0,0
31300,277.07,0.0,0.0,40,13,4784,0,0,0,0,0,0,0,1,0,0,0,0
30625,278.9,0.0,0.0,40,17,5856,0,0,0,0,0,0,0,1,0,0,0,0
1200,289.16,0.0,0.0,90,8,2651,0,0,0,0,0,0,0,1,0,0,0,0
32115,272.58,0.0,0.0,90,2,571,0,0,0,0,0,0,0,1,0,0,0,0
33702,265.38,0.0,0.0,5,14,4213,0,0,0,0,0,0,0,1,0,0,0,0
30332,289.34,0.0,0.0,1,18,3204,0,0,0,0,0,0,0,1,0,0,0,0
14596,269.31,0.0,0.0,1,0,608,0,0,0,0,0,0,0,1,0,0,0,0
18217,274.62,0.0,0.0,90,1,657,0,0,0,0,0,0,0,1,0,0,0,0
5264,290.95,0.0,0.0,0,6,5477,0,0,0,0,0,0,0,1,0,0,0,0
32824,297.42,0.0,0.0,75,22,3196,0,0,0,0,0,0,0,1,0,0,0,0
8618,298.356,0.0,0.0,0,22,2846,0,0,0,0,0,0,0,1,0,0,0,0
18931,288.64,0.0,0.0,1,11,4577,0,0,0,0,0,0,0,1,0,0,0,0
13846,276.71,0.0,0.0,90,16,3843,0,0,0,0,0,0,0,1,0,0,0,0
7671,274.47,0.0,0.0,90,23,1041,0,0,0,0,0,0,0,1,0,0,0,0
8191,294.29,0.0,0.0,90,11,4744,0,0,0,0,0,0,0,1,0,0,0,0
30230,282.51,0.0,0.0,40,10,4523,0,0,0,0,0,0,0,1,0,0,0,0
34297,302.17,0.0,0.0,1,10,4941,0,0,0,0,0,0,0,1,0,0,0,0
15121,275.93,0.0,0.0,60,8,1928,0,0,0,0,0,0,0,1,0,0,0,0
15261,298.44,0.0,0.0,75,21,3512,0,0,0,0,0,0,0,1,0,0,0,0
11145,275.42,0.0,0.0,90,11,4948,0,0,0,0,0,0,0,1,0,0,0,0
9973,290.08,0.0,0.0,75,11,4750,0,0,0,0,0,0,0,1,0,0,0,0
11309,282.34,0.0,0.0,40,15,5791,0,0,0,0,0,0,0,1,0,0,0,0
14448,289.54,0.0,0.0,20,19,2631,0,0,0,0,0,0,0,1,0,0,0,0
13693,293.51,0.0,0.0,75,1,855,0,0,0,0,0,0,0,1,0,0,0,0
31638,296.14,0.0,0.0,1,12,5120,0,0,0,0,0,0,0,1,0,0,0,0
26682,289.17,0.0,0.0,1,2,747,0,0,0,0,0,0,0,1,0,0,0,0
20775,271.66,0.0,0.0,1,11,4568,0,0,0,0,0,0,0,1,0,0,0,0
2977,285.68,5.02,0.0,90,8,3124,0,0,0,0,0,0,0,1,0,0,0,0
149,287.87,0.0,0.0,90,6,1495,0,0,0,0,0,0,0,1,0,0,0,0
23231,256.72,0.0,0.0,1,15,3941,0,0,0,0,0,0,0,1,0,0,0,0
6031,299.25,0.0,0.0,0,3,365,0,0,0,0,0,0,0,1,0,0,0,0
34913,267.04,0.0,0.0,90,1,333,0,0,0,0,0,0,0,1,0,0,0,0
27253,275.23,0.0,0.0,90,20,2939,0,0,0,0,0,0,0,1,0,0,0,0
10519,294.44,0.0,0.0,90,11,5220,0,0,0,0,0,0,0,1,0,0,0,0
16164,271.62,0.0,0.0,90,21,2409,0,0,0,0,0,0,0,1,0,0,0,0
33135,290.55,0.0,0.0,1,6,5814,0,0,0,0,0,0,0,1,0,0,0,0
28619,266.39,0.0,0.0,90,15,5694,0,0,0,0,0,0,0,1,0,0,0,0
1333,285.82,0.0,0.0,48,10,4324,0,0,0,0,0,0,0,1,0,0,0,0
11007,291.45,0.0,0.0,48,17,4035,0,0,0,0,0,0,0,1,0,0,0,0
42881,280.86,0.0,0.0,1,8,4922,0,0,0,0,0,0,0,1,0,0,0,0
19657,294.38,0.25,0.0,90,9,5428,0,0,0,0,0,0,0,1,0,0,0,0
12487,287.92,0.0,0.0,12,2,449,0,0,0,0,0,0,0,1,0,0,0,0
32355,292.67,0.0,0.0,40,2,331,0,0,0,0,0,0,0,1,0,0,0,0
29030,298.42,0.0,0.0,75,19,3499,0,0,0,0,0,0,0,1,0,0,0,0
20213,291.36,0.0,0.0,75,14,4224,0,0,0,0,0,0,0,1,0,0,0,0
9143,281.35,0.0,0.0,90,4,804,0,0,0,0,0,0,0,1,0,0,0,0
7758,274.62,0.0,0.0,90,14,3681,0,0,0,0,0,0,0,1,0,0,0,0
34653,264.09,0.0,0.0,1,1,329,0,0,0,0,0,0,0,1,0,0,0,0
6685,271.95,0.0,0.0,1,23,1048,0,0,0,0,0,0,0,1,0,0,0,0
22301,293.01,0.0,0.0,40,0,678,0,0,0,0,0,0,0,1,0,0,0,0
35192,295.39,0.0,0.0,1,18,4112,0,0,0,0,0,0,0,1,0,0,0,0
36252,290.76,0.0,0.0,40,20,2652,0,0,0,0,0,0,0,1,0,0,0,0
30213,264.01,0.76,0.0,90,8,5552,0,0,0,0,0,0,0,1,0,0,0,0
3754,274.12,0.0,0.0,64,7,5668,0,0,0,0,0,0,0,1,0,0,0,0
29706,283.29,0.0,0.0,90,14,4573,0,0,0,0,0,0,0,1,0,0,0,0
16824,268.31,0.0,0.0,90,5,2389,0,0,0,0,0,0,0,1,0,0,0,0
16875,288.02,0.0,0.0,1,23,1117,0,0,0,0,0,0,0,1,0,0,0,0
9551,280.02,0.0,0.0,64,11,5228,0,0,0,0,0,0,0,1,0,0,0,0
28965,261.03,0.0,0.0,1,8,5656,0,0,0,0,0,0,0,1,0,0,0,0
22246,275.04,0.0,0.0,90,0,600,0,0,0,0,0,0,0,1,0,0,0,0
15503,278.48,0.0,0.0,90,20,3169,0,0,0,0,0,0,0,1,0,0,0,0
12695,285.62,0.0,0.0,90,7,1628,0,0,0,0,0,0,0,1,0,0,0,0
24994,270.79,0.0,0.0,90,6,1402,0,0,0,0,0,0,0,1,0,0,0,0
17490,250.36,0.0,0.0,1,3,303,0,0,0,0,0,0,0,1,0,0,0,0
31114,287.15,0.0,0.0,1,5,3163,0,0,0,0,0,0,0,1,0,0,0,0
23742,292.94,0.0,0.0,92,8,5378,0,0,0,0,0,0,0,1,0,0,0,0
33227,257.21,0.0,0.0,20,14,5250,0,0,0,0,0,0,0,1,0,0,0,0
22490,274.07,0.0,0.0,90,18,4315,0,0,0,0,0,0,0,1,0,0,0,0
13949,275.86,0.0,0.0,90,19,3595,0,0,0,0,0,0,0,1,0,0,0,0
12179,254.91,0.0,0.0,1,7,1158,0,0,0,0,0,0,0,1,0,0,0,0
25613,258.05,0.0,0.0,64,4,807,0,0,0,0,0,0,0,1,0,0,0,0
11441,295.12,20.24,0.0,90,7,4302,0,0,0,0,0,0,0,1,0,0,0,0
36,277.06,0.0,0.0,40,18,4987,0,0,0,0,0,0,0,1,0,0,0,0
7136,289.74,0.0,0.0,1,1,424,0,0,0,0,0,0,0,1,0,0,0,0
38987,272.15,0.0,0.0,90,2,485,0,0,0,0,0,0,0,1,0,0,0,0
15841,273.02,0.0,0.0,90,18,4679,0,0,0,0,0,0,0,1,0,0,0,0
4137,287.15,0.0,0.0,90,10,3591,0,0,0,0,0,0,0,1,0,0,0,0
27635,286.71,0.0,0.0,92,2,312,0,0,0,0,0,0,0,1,0,0,0,0
9647,286.88,0.0,0.0,1,5,541,0,0,0,0,0,0,0,1,0,0,0,0
24166,263.96,0.0,0.0,89,17,5574,0,0,0,0,0,0,0,1,0,0,0,0
266,280.39,0.0,0.0,90,9,5287,0,0,0,0,0,0,0,1,0,0,0,0
28020,266.22,0.0,0.0,90,4,966,0,0,0,0,0,0,0,1,0,0,0,0
36052,267.84,0.0,0.0,90,12,4755,0,0,0,0,0,0,0,1,0,0,0,0
9271,275.74,0.0,0.0,1,19,3251,0,0,0,0,0,0,0,1,0,0,0,0
28505,262.21,0.0,0.0,1,0,512,0,0,0,0,0,0,0,1,0,0,0,0
31229,280.43,0.25,0.0,90,10,4195,0,0,0,0,0,0,0,1,0,0,0,0
40532,295.01,0.0,0.0,40,9,1939,0,0,0,0,0,0,0,1,0,0,0,0
36102,283.216,0.0,0.0,20,15,4688,0,0,0,0,0,0,0,1,0,0,0,0
25970,299.29,0.0,0.0,40,17,4604,0,0,0,0,0,0,0,1,0,0,0,0
34438,273.97,0.0,0.0,90,12,5083,0,0,0,0,0,0,0,1,0,0,0,0
29676,271.79,0.0,0.0,90,19,3216,0,0,0,0,0,0,0,1,0,0,0,0
35615,266.77,0.0,0.0,5,14,5397,0,0,0,0,0,0,0,1,0,0,0,0
2558,292.22,0.0,0.0,1,17,6192,0,0,0,0,0,0,0,1,0,0,0,0
10078,289.27,0.0,0.0,1,3,340,0,0,0,0,0,0,0,1,0,0,0,0
11382,300.9,0.0,0.0,0,11,5615,0,0,0,0,0,0,0,1,0,0,0,0
28706,294.03,0.0,0.0,40,10,4656,0,0,0,0,0,0,0,1,0,0,0,0
22841,274.62,0.0,0.0,75,10,4859,0,0,0,0,0,0,0,1,0,0,0,0
438,277.51,0.0,0.0,90,18,4883,0,0,0,0,0,0,0,1,0,0,0,0
14188,269.48,0.0,0.0,40,23,1713,0,0,0,0,0,0,0,1,0,0,0,0
13437,295.62,0.0,0.0,1,13,4508,0,0,0,0,0,0,0,1,0,0,0,0
