Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
25.10.04,0:00:00,1.7,8.9,63,17.9,72.4,,
08.05.04,2:00:00,0.5,1.5,33,14.6,53.3,54.60160506,143.74385900000001
10.03.04,19:00:00,2.0,9.4,92,13.3,47.7,25.117724600000003,53.98322107
26.03.05,4:00:00,-200.0,6.0,92,16.2,71.2,,
15.10.04,18:00:00,-200.0,21.7,-200,19.8,53.1,,
29.04.04,16:00:00,3.9,21.2,136,21.4,44.4,173.9708435,209.36661819999998
19.11.04,6:00:00,1.0,1.6,45,15.4,55.9,,
21.11.04,3:00:00,0.3,5.1,-200,4.2,53.6,,
03.07.04,1:00:00,1.1,7.4,84,24.2,37.3,,
25.04.04,3:00:00,1.3,4.5,-200,12.6,58.6,177.33170280000002,217.3014829
24.09.04,2:00:00,0.7,4.6,64,22.3,55.8,,
23.12.04,20:00:00,9.1,36.3,252,6.2,56.9,,
13.03.05,9:00:00,0.1,3.0,112,12.9,49.9,,
17.04.04,21:00:00,-200.0,5.3,-200,16.9,51.1,179.8096875,219.46858340000003
13.03.04,7:00:00,1.5,5.1,77,6.3,71.9,44.92194737,53.25405223
05.10.04,6:00:00,-200.0,7.8,-200,17.4,69.7,,
20.06.04,14:00:00,0.7,-200.0,35,-200.0,-200.0,,
30.01.05,21:00:00,1.7,4.1,164,4.6,33.8,,
12.01.05,17:00:00,3.4,17.6,173,14.6,54.0,,
23.12.04,4:00:00,1.3,3.1,85,1.5,61.4,,
15.03.04,11:00:00,4.2,20.1,155,19.8,38.5,34.43008845,52.85803829999999
31.12.04,2:00:00,-200.0,3.0,-200,6.7,50.7,,
07.04.04,10:00:00,1.6,7.4,96,16.1,53.1,140.8919822,142.87098659999998
25.12.04,17:00:00,4.0,15.4,181,11.4,67.9,,
21.10.04,0:00:00,4.4,22.3,105,21.7,69.7,,
10.04.04,13:00:00,1.5,6.4,88,19.9,26.7,136.6604047,153.36669750000001
07.04.04,12:00:00,1.6,7.8,110,17.4,40.3,159.1771545,168.3999457
06.11.04,8:00:00,2.8,14.5,87,14.6,74.2,,
08.08.04,22:00:00,1.9,10.4,93,27.1,54.7,,
04.08.04,16:00:00,-200.0,7.6,-200,39.3,22.0,,
12.05.04,2:00:00,0.8,4.6,65,15.6,63.9,122.7257311,64.91903825
28.03.05,10:00:00,1.5,5.2,115,17.8,61.7,,
26.11.04,20:00:00,7.7,37.7,167,15.1,67.0,,
22.03.04,23:00:00,1.1,4.3,80,14.5,49.4,41.84646507,59.60786085
29.09.04,5:00:00,0.4,2.0,45,17.1,52.5,,
12.12.04,2:00:00,2.6,10.4,117,6.8,57.8,,
03.09.04,20:00:00,4.0,16.3,-200,31.0,33.1,,
18.10.04,5:00:00,-200.0,3.1,-200,14.0,67.4,,
19.05.04,11:00:00,2.1,11.5,122,27.7,26.3,126.33253020000001,67.74292318
26.11.04,19:00:00,6.4,30.7,170,15.6,64.9,,
24.11.04,11:00:00,3.3,15.1,116,13.3,68.8,,
25.04.04,10:00:00,1.0,2.5,56,16.6,38.6,172.619929,220.90975989999998
05.06.04,18:00:00,2.3,14.0,105,27.8,35.0,,
05.08.04,23:00:00,-200.0,5.7,72,22.7,68.4,,
21.01.05,0:00:00,1.8,5.8,119,8.0,52.2,,
25.05.04,18:00:00,-200.0,24.9,-200,29.7,12.2,,
18.09.04,2:00:00,0.7,3.2,57,21.1,44.5,,
17.06.04,6:00:00,1.3,9.3,77,18.3,60.8,,
07.09.04,2:00:00,0.6,2.7,-200,24.0,43.7,,
01.03.05,19:00:00,2.1,7.5,148,1.8,35.4,,
22.06.04,0:00:00,1.1,6.4,79,20.5,49.9,,
26.08.04,1:00:00,0.9,5.0,55,23.3,45.3,,
17.05.04,22:00:00,1.2,7.1,73,20.9,28.8,118.97052079999999,66.06059702
16.03.05,21:00:00,4.9,23.5,229,16.9,42.9,,
19.02.05,8:00:00,1.9,8.5,194,0.6,65.0,,
20.03.04,18:00:00,2.3,12.4,110,18.5,46.3,30.72182407,58.84474023
09.11.04,9:00:00,-200.0,22.8,-200,7.1,62.0,,
15.10.04,13:00:00,-200.0,18.3,-200,20.5,61.5,,
30.10.04,2:00:00,1.5,6.5,84,16.9,81.4,,
10.06.04,6:00:00,1.2,8.7,78,20.0,56.6,,
15.04.04,17:00:00,5.2,24.4,149,19.6,35.5,142.3491456,142.42210369999998
12.09.04,20:00:00,-200.0,17.5,-200,24.6,60.3,,
07.11.04,4:00:00,-200.0,3.8,56,17.0,52.3,,
20.07.04,7:00:00,-200.0,24.8,135,24.8,43.2,,
05.05.04,15:00:00,3.5,16.4,125,17.5,60.8,45.18850465,125.4672547
23.04.04,0:00:00,-200.0,10.0,-200,17.2,47.9,170.5270247,212.55115640000002
17.09.04,13:00:00,2.1,10.7,88,23.4,40.4,,
17.05.04,15:00:00,1.7,7.7,99,25.8,18.6,115.51611909999998,66.07550679
07.08.04,18:00:00,1.6,8.4,95,34.9,33.4,,
11.09.04,3:00:00,-200.0,3.1,-200,23.6,40.5,,
09.04.04,4:00:00,1.0,-200.0,79,-200.0,-200.0,158.4296813,144.1274025
18.04.04,9:00:00,-200.0,4.2,-200,14.2,75.6,190.4899398,203.5104301
04.04.04,21:00:00,-200.0,5.2,-200,16.6,56.1,74.8078111,104.289389
04.08.04,6:00:00,-200.0,7.8,-200,25.0,57.0,,
03.01.05,6:00:00,1.4,-200.0,102,-200.0,-200.0,,
21.02.05,23:00:00,1.2,2.9,124,6.4,70.7,,
23.03.04,11:00:00,3.0,15.5,131,12.8,55.8,75.23096359,115.5077477
13.11.04,21:00:00,1.7,4.7,113,15.9,54.9,,
12.09.04,13:00:00,-200.0,7.6,-200,24.8,70.4,,
23.05.04,13:00:00,1.0,4.2,57,27.7,25.8,123.07423840000001,65.63237789
30.03.04,5:00:00,0.7,2.3,71,12.9,33.9,79.04064348,111.8679307
24.03.04,17:00:00,2.8,13.4,130,11.7,69.1,80.10688094,115.5382732
16.09.04,9:00:00,3.6,21.6,96,21.6,67.7,,
14.11.04,13:00:00,0.6,1.2,62,12.4,31.3,,
10.11.04,20:00:00,4.6,21.4,182,10.0,71.5,,
16.07.04,9:00:00,3.1,14.8,157,24.2,48.5,,
21.09.04,19:00:00,5.4,28.7,210,26.7,42.3,,
14.05.04,8:00:00,-200.0,29.1,-200,20.0,45.6,121.66446459999999,60.19043889
12.03.05,15:00:00,0.2,3.8,105,17.7,35.0,,
24.11.04,13:00:00,2.0,9.7,104,15.6,56.2,,
02.07.04,10:00:00,2.8,15.6,158,33.6,28.7,,
02.04.04,13:00:00,3.0,16.1,130,23.6,31.3,73.72950942,101.91131850000001
24.06.04,8:00:00,1.5,8.6,77,24.7,45.9,,
27.02.05,14:00:00,1.1,2.5,115,10.0,35.5,,
23.09.04,11:00:00,2.7,15.9,129,26.4,47.3,,
19.03.04,8:00:00,4.8,22.8,157,13.0,61.6,27.62716546,54.25694292
12.12.04,3:00:00,2.0,6.4,-200,6.6,58.1,,
17.09.04,11:00:00,1.6,8.6,113,23.5,41.6,,
21.06.04,11:00:00,1.5,7.9,106,29.6,21.0,,
31.12.04,21:00:00,-200.0,5.5,-200,9.1,32.5,,
29.03.05,1:00:00,1.0,2.9,83,14.7,66.4,,
13.03.05,10:00:00,0.3,5.0,148,13.9,47.3,,
17.05.04,8:00:00,2.0,8.9,142,18.5,31.2,114.12062649999999,70.76610422
29.11.04,23:00:00,1.0,3.9,69,16.0,61.6,,
15.05.04,6:00:00,0.6,3.9,49,15.3,49.7,116.12319240000001,69.37990199
15.06.04,20:00:00,2.9,15.3,127,26.8,35.1,,
10.07.04,15:00:00,0.6,4.4,54,33.1,18.3,,
01.07.04,5:00:00,0.8,5.4,66,23.4,58.6,,
16.06.04,12:00:00,1.7,9.0,85,30.1,30.9,,
18.08.04,12:00:00,-200.0,5.6,-200,33.3,33.1,,
16.10.04,7:00:00,-200.0,7.7,-200,15.0,74.8,,
07.03.05,15:00:00,1.3,4.5,158,9.7,25.7,,
15.04.04,19:00:00,7.3,33.7,158,17.4,47.8,138.57127549999998,158.8415168
30.10.04,14:00:00,3.4,16.9,147,23.6,57.3,,
25.12.04,13:00:00,5.5,18.1,178,11.4,62.9,,
26.11.04,8:00:00,4.3,23.1,137,10.0,75.0,,
24.09.04,15:00:00,3.3,19.3,123,25.7,47.8,,
21.08.04,8:00:00,-200.0,3.2,-200,26.8,35.0,,
27.11.04,3:00:00,2.7,10.2,-200,11.9,79.7,,
21.09.04,15:00:00,2.6,14.6,152,30.5,34.9,,
25.06.04,4:00:00,0.6,2.4,64,21.7,50.2,,
20.09.04,15:00:00,2.4,11.9,122,31.8,27.4,,
03.08.04,19:00:00,-200.0,12.9,114,31.9,37.5,,
17.02.05,22:00:00,2.1,6.3,169,6.9,48.2,,
07.11.04,5:00:00,0.7,2.1,42,16.1,49.8,,
13.12.04,19:00:00,6.9,35.6,217,11.7,60.8,,
19.12.04,14:00:00,3.0,12.5,134,5.2,73.1,,
02.02.05,19:00:00,5.8,27.8,193,8.9,31.4,,
05.05.04,0:00:00,0.7,2.3,41,18.6,52.3,46.83609014,139.9461796
13.08.04,4:00:00,0.5,1.7,11,25.4,63.1,,
03.12.04,3:00:00,1.3,4.7,-200,14.1,84.8,,
02.12.04,12:00:00,2.8,14.8,128,15.9,62.7,,
14.05.04,7:00:00,3.7,22.8,140,18.5,49.4,117.61593140000001,61.34316604
23.11.04,18:00:00,10.2,49.5,227,13.2,72.6,,
27.03.04,17:00:00,2.3,11.2,117,17.1,31.3,82.05833859,104.0255792
08.09.04,16:00:00,-200.0,-200.0,-200,-200.0,-200.0,,
15.11.04,5:00:00,0.3,0.4,22,10.4,38.6,,
23.09.04,9:00:00,2.7,18.1,103,25.0,50.8,,
01.04.05,15:00:00,1.1,3.6,119,19.4,25.3,,
19.04.04,17:00:00,-200.0,11.8,-200,10.0,80.5,185.54424939999998,211.85523500000002
30.07.04,19:00:00,-200.0,16.5,137,33.3,28.7,,
14.03.04,15:00:00,1.9,8.2,107,21.9,29.0,32.75705908,59.38927829
06.08.04,5:00:00,0.7,4.4,57,21.4,75.5,,
12.03.04,4:00:00,-200.0,1.1,32,6.1,65.9,24.97804034,54.40063745
20.12.04,9:00:00,3.6,7.1,119,8.5,60.4,,
03.04.05,11:00:00,1.3,5.3,115,24.0,19.3,,
15.06.04,1:00:00,0.7,2.8,43,21.6,45.8,,
18.09.04,13:00:00,1.6,7.6,79,27.6,28.7,,
02.06.04,10:00:00,-200.0,8.9,54,24.3,49.0,,
22.08.04,9:00:00,-200.0,6.0,-200,25.2,47.4,,
23.06.04,5:00:00,0.4,2.2,40,21.7,46.8,,
26.03.05,1:00:00,2.2,10.5,124,16.8,69.0,,
24.03.05,11:00:00,3.2,15.3,155,18.2,43.2,,
03.05.04,3:00:00,0.4,1.7,-200,15.6,65.3,37.79328809,132.0387188
01.08.04,12:00:00,0.6,4.3,34,37.4,28.2,,
08.12.04,8:00:00,1.0,3.2,68,12.8,66.3,,
21.07.04,3:00:00,-200.0,3.1,-200,27.4,39.1,,
21.10.04,8:00:00,3.6,24.3,104,22.6,61.4,,
28.06.04,2:00:00,0.6,3.4,41,26.0,41.2,,
07.08.04,14:00:00,1.0,4.7,54,35.1,25.2,,
26.03.05,9:00:00,2.1,10.9,106,17.4,65.0,,
15.06.04,17:00:00,3.1,18.4,143,32.6,24.1,,
14.02.05,8:00:00,2.3,11.4,176,9.4,44.9,,
10.10.04,14:00:00,1.3,4.4,69,19.8,78.0,,
16.06.04,16:00:00,2.3,12.2,113,33.0,26.0,,
15.04.04,5:00:00,-200.0,2.6,-200,9.3,65.8,142.32002830000002,143.4875917
20.03.05,1:00:00,1.9,5.9,149,13.6,63.5,,
28.04.04,13:00:00,2.4,15.7,108,28.1,26.9,187.5424276,211.38650730000003
12.06.04,10:00:00,2.1,14.1,101,27.2,30.7,,
13.04.04,11:00:00,1.6,8.0,96,13.8,47.4,124.97017790000001,155.56894530000002
04.07.04,21:00:00,1.7,10.1,108,28.2,28.7,,
22.08.04,15:00:00,-200.0,2.8,-200,36.6,11.8,,
22.04.04,9:00:00,-200.0,26.1,-200,19.2,41.6,174.6480796,209.4704838
03.08.04,10:00:00,-200.0,15.2,173,32.8,36.9,,
12.07.04,22:00:00,1.3,5.2,85,21.3,38.7,,
07.09.04,1:00:00,0.8,3.0,-200,24.2,43.8,,
25.02.05,21:00:00,2.3,8.1,179,7.3,52.8,,
12.05.04,4:00:00,-200.0,2.7,47,15.6,62.2,112.8763581,60.67752804
17.03.05,2:00:00,0.9,3.3,104,12.6,53.7,,
01.06.04,1:00:00,-200.0,2.9,23,19.6,68.4,,
15.03.05,15:00:00,1.9,10.9,146,23.6,23.2,,
18.05.04,9:00:00,3.2,14.6,115,20.3,38.1,116.09632240000002,67.43527835
19.01.05,2:00:00,0.4,4.4,109,9.9,79.8,,
09.09.04,21:00:00,2.0,11.0,136,28.3,30.1,,
04.06.04,19:00:00,3.6,17.5,-200,25.7,31.8,,
26.11.04,12:00:00,4.0,18.9,179,14.9,57.0,,
28.03.05,19:00:00,3.7,12.4,175,19.6,47.8,,
11.07.04,16:00:00,0.6,4.7,63,33.0,17.7,,
30.08.04,21:00:00,-200.0,10.8,-200,26.0,43.6,,
13.03.05,14:00:00,0.3,2.8,110,17.2,46.2,,
23.11.04,0:00:00,1.3,11.6,121,7.9,72.5,,
17.09.04,20:00:00,2.2,10.0,110,22.3,42.2,,
05.12.04,19:00:00,2.0,4.6,103,12.1,75.5,,
17.03.04,1:00:00,1.2,5.4,90,15.5,51.9,40.196784,55.36396608
22.07.04,8:00:00,-200.0,35.6,149,26.4,46.3,,
14.07.04,15:00:00,2.1,12.4,113,35.3,13.8,,
20.08.04,20:00:00,-200.0,7.0,-200,29.1,46.9,,
09.10.04,12:00:00,3.1,18.2,87,28.1,45.3,,
26.04.04,23:00:00,1.2,4.0,75,16.0,41.4,174.17980480000003,210.49730719999997
15.02.05,0:00:00,1.0,3.1,102,8.7,31.2,,
28.07.04,0:00:00,-200.0,8.7,101,24.5,28.0,,
15.09.04,23:00:00,1.5,8.6,69,22.1,66.5,,
21.03.05,21:00:00,3.8,14.3,183,15.3,61.0,,
26.07.04,19:00:00,-200.0,14.5,131,32.5,27.9,,
19.08.04,21:00:00,-200.0,6.4,-200,30.3,47.3,,
11.01.05,21:00:00,4.1,18.4,156,12.6,63.9,,
01.01.05,1:00:00,1.6,8.8,106,5.3,50.7,,
09.06.04,23:00:00,1.5,8.7,84,25.4,40.1,,
12.09.04,22:00:00,-200.0,23.3,-200,23.8,63.5,,
13.03.04,21:00:00,4.2,18.3,159,15.3,46.8,28.04129073,59.93359746
30.09.04,23:00:00,1.7,10.7,91,21.1,64.7,,
17.07.04,15:00:00,1.0,4.6,66,39.7,13.5,,
09.07.04,3:00:00,0.5,2.7,-200,27.8,43.7,,
27.02.05,13:00:00,1.8,4.1,131,10.3,32.9,,
02.02.05,2:00:00,2.9,6.9,130,5.3,57.8,,
07.04.04,2:00:00,0.4,1.4,30,15.6,44.4,152.3725221,147.51851200000002
28.11.04,7:00:00,0.8,1.5,50,9.5,73.3,,
01.11.04,9:00:00,1.9,9.8,62,20.3,71.1,,
25.04.04,20:00:00,2.5,8.2,101,16.6,34.0,185.5533334,217.1693078
13.10.04,15:00:00,-200.0,6.0,-200,16.0,52.6,,
08.04.04,10:00:00,2.6,11.7,113,16.5,42.6,143.77809630000002,163.96285480000003
21.04.04,4:00:00,-200.0,2.0,-200,11.3,67.6,188.8916438,208.5207767
12.04.04,2:00:00,0.7,2.0,54,14.6,34.0,140.87516589999998,144.1303273
23.11.04,20:00:00,11.5,49.4,190,11.5,76.2,,
21.07.04,17:00:00,-200.0,11.5,99,41.6,14.5,,
29.05.04,11:00:00,0.7,4.5,70,21.3,35.8,,
25.03.05,21:00:00,3.9,16.7,155,18.2,61.0,,
08.11.04,2:00:00,0.7,1.7,42,11.1,55.6,,
17.08.04,14:00:00,-200.0,4.8,-200,36.5,20.8,,
28.07.04,3:00:00,-200.0,2.2,-200,23.6,33.2,,
03.12.04,0:00:00,3.2,13.1,102,14.1,81.4,,
26.03.04,17:00:00,2.3,11.2,102,14.2,43.3,78.21695559,116.85101470000001
12.10.04,12:00:00,-200.0,9.5,-200,20.8,45.8,,
06.07.04,21:00:00,2.5,14.9,125,30.4,23.2,,
04.02.05,2:00:00,0.7,3.3,111,4.7,64.6,,
17.11.04,23:00:00,2.3,7.1,145,9.7,62.5,,
27.12.04,0:00:00,2.3,7.4,137,11.2,79.6,,
14.12.04,22:00:00,2.5,-200.0,112,-200.0,-200.0,,
09.10.04,1:00:00,1.3,8.6,62,21.9,61.5,,
18.03.04,13:00:00,2.2,12.2,133,24.2,28.7,41.96294265,57.134517200000005
31.03.04,14:00:00,2.6,11.2,114,13.6,69.2,75.30610115,106.75194409999999
20.03.04,14:00:00,2.1,9.3,93,19.0,42.9,42.88273891,56.45819399999999
11.08.04,16:00:00,1.4,6.6,65,38.7,25.8,,
12.05.04,9:00:00,5.1,26.6,121,18.8,52.4,121.57857549999999,67.85677021
06.01.05,2:00:00,1.6,5.4,112,12.5,63.8,,
03.04.05,18:00:00,1.2,4.6,138,22.8,21.7,,
15.06.04,15:00:00,2.6,15.8,140,34.0,20.8,,
19.06.04,16:00:00,1.1,-200.0,65,-200.0,-200.0,,
13.10.04,1:00:00,-200.0,1.5,-200,14.6,57.6,,
28.02.05,8:00:00,1.0,2.6,111,2.7,50.5,,
27.12.04,2:00:00,1.1,2.7,92,11.6,68.9,,
26.04.04,12:00:00,1.5,6.6,80,19.6,30.9,176.0463426,219.65747909999996
12.10.04,21:00:00,-200.0,4.3,-200,15.5,57.1,,
09.03.05,8:00:00,4.3,20.9,190,3.3,61.6,,
05.04.04,5:00:00,-200.0,3.1,-200,13.5,63.9,120.5478835,167.7329409
25.06.04,22:00:00,2.6,13.8,130,25.0,28.7,,
07.05.04,9:00:00,3.4,15.0,127,16.0,50.9,53.84338889,162.6307419
31.03.04,0:00:00,1.3,3.8,82,14.8,41.0,89.69147824,111.14310729999998
02.10.04,20:00:00,-200.0,17.8,-200,22.9,57.9,,
19.02.05,20:00:00,2.7,12.3,211,10.4,37.3,,
05.08.04,14:00:00,-200.0,6.6,84,34.2,30.8,,
10.07.04,2:00:00,1.0,6.7,70,21.6,51.9,,
24.08.04,4:00:00,0.4,1.7,21,21.7,42.6,,
06.11.04,12:00:00,3.3,17.1,112,20.4,57.0,,
13.12.04,8:00:00,3.4,16.4,140,6.4,65.6,,
08.06.04,0:00:00,1.3,6.7,92,21.7,50.8,,
24.05.04,17:00:00,2.0,12.0,108,24.5,15.4,,
26.01.05,0:00:00,-200.0,1.1,55,3.9,47.7,,
12.05.04,3:00:00,0.6,3.1,-200,14.9,65.7,123.7627211,70.72815741
23.04.04,16:00:00,4.6,25.8,186,29.5,20.1,174.6705799,201.2238236
28.03.05,21:00:00,1.8,7.1,130,16.2,60.6,,
03.12.04,22:00:00,3.0,12.7,107,14.0,75.7,,
18.07.04,22:00:00,1.6,11.7,102,29.0,27.0,,
28.09.04,10:00:00,3.7,19.9,177,21.0,37.2,,
31.10.04,0:00:00,2.0,7.9,86,19.3,70.4,,
20.04.04,1:00:00,-200.0,2.9,-200,9.5,80.2,175.8339967,217.72569790000003
25.12.04,1:00:00,5.6,14.2,164,9.6,65.9,,
03.02.05,0:00:00,1.7,5.6,156,4.5,47.9,,
25.01.05,8:00:00,0.2,2.9,115,4.3,45.9,,
31.10.04,1:00:00,1.5,5.7,72,19.7,68.6,,
13.07.04,6:00:00,1.3,7.3,62,16.2,57.4,,
25.04.04,17:00:00,1.4,4.7,76,19.6,24.9,185.0780229,210.599762
26.02.05,8:00:00,1.0,3.9,124,6.2,51.3,,
20.01.05,4:00:00,0.6,0.7,40,7.8,54.2,,
28.02.05,2:00:00,0.6,1.0,56,4.0,51.0,,
24.04.04,19:00:00,3.5,19.4,134,23.4,39.7,178.50626780000002,215.37349559999998
20.02.05,22:00:00,1.1,3.1,105,7.7,54.4,,
19.12.04,8:00:00,1.0,3.8,110,2.5,59.3,,
15.07.04,6:00:00,0.7,5.7,64,21.1,47.1,,
31.03.04,16:00:00,2.3,10.1,111,15.7,50.9,70.71146244,120.18605009999999
07.09.04,20:00:00,3.3,15.3,-200,27.4,30.8,,
04.08.04,8:00:00,-200.0,26.0,-200,28.3,47.6,,
14.07.04,0:00:00,1.4,8.8,89,23.6,33.8,,
08.09.04,3:00:00,-200.0,-200.0,-200,-200.0,-200.0,,
21.07.04,18:00:00,4.1,17.0,140,39.6,18.8,,
25.03.05,4:00:00,0.9,4.1,96,13.6,82.8,,
12.07.04,8:00:00,3.6,17.2,112,21.3,49.7,,
02.04.04,16:00:00,2.6,13.6,122,27.6,22.8,72.03945891,107.84256780000001
17.06.04,23:00:00,2.8,15.2,120,24.6,45.8,,
13.03.04,15:00:00,2.0,9.2,116,18.4,33.6,20.93788927,51.00923472
14.04.04,1:00:00,0.9,3.9,73,10.9,64.6,159.2004693,168.1326456
27.06.04,10:00:00,1.9,10.5,111,31.0,32.4,,
15.03.04,18:00:00,6.1,32.1,162,22.5,35.4,38.95216528,57.3592925
28.10.04,20:00:00,2.5,12.4,112,19.4,64.0,,
12.09.04,14:00:00,-200.0,3.5,-200,27.8,49.4,,
29.04.04,20:00:00,4.3,19.2,122,18.6,57.6,41.08186489,133.4923753
01.11.04,18:00:00,4.0,19.8,95,21.8,72.7,,
04.10.04,3:00:00,-200.0,2.7,-200,17.8,72.3,,
19.11.04,11:00:00,3.5,13.8,231,17.0,55.9,,
16.09.04,3:00:00,0.7,4.3,-200,20.2,73.8,,
14.04.04,10:00:00,2.7,12.3,103,19.5,34.4,158.12084730000004,154.98341200000002
20.12.04,10:00:00,2.9,5.0,111,8.9,57.4,,
07.05.04,10:00:00,2.4,9.3,114,18.6,42.8,34.7745695,130.1471237
13.09.04,17:00:00,3.1,18.5,145,34.3,24.7,,
04.02.05,0:00:00,1.2,6.4,161,6.0,62.7,,
20.01.05,5:00:00,0.6,0.9,45,7.1,56.0,,
23.02.05,23:00:00,1.5,4.6,167,4.2,77.9,,
22.05.04,0:00:00,3.7,18.0,126,19.1,41.9,130.6409603,60.08321371
01.10.04,0:00:00,1.9,10.4,91,20.3,66.4,,
28.03.04,20:00:00,1.8,5.5,103,13.4,43.2,89.54964579,107.2678588
16.11.04,20:00:00,3.2,15.8,171,13.4,40.4,,
03.02.05,7:00:00,0.6,4.2,134,1.3,63.1,,
02.08.04,4:00:00,0.2,1.6,5,25.5,61.8,,
13.05.04,11:00:00,1.6,7.2,90,17.6,49.7,111.9393732,61.31782643
05.11.04,14:00:00,4.4,25.0,125,23.0,49.0,,
28.06.04,20:00:00,2.5,15.1,115,31.9,30.6,,
27.02.05,6:00:00,0.9,3.1,77,1.6,74.3,,
14.03.04,22:00:00,2.1,9.0,121,16.3,51.0,26.11374064,57.90599198
05.10.04,11:00:00,-200.0,19.3,-200,26.0,43.8,,
11.04.04,16:00:00,1.0,3.2,58,21.0,23.6,131.99667340000002,155.5354304
08.09.04,21:00:00,2.8,15.8,155,26.8,28.9,,
01.01.05,20:00:00,2.5,7.9,151,7.8,54.6,,
25.02.05,5:00:00,0.8,2.1,100,5.0,82.8,,
02.02.05,6:00:00,2.2,4.5,125,2.6,67.5,,
20.10.04,3:00:00,-200.0,9.3,-200,18.4,74.5,,
08.04.04,21:00:00,1.6,7.0,93,15.3,41.5,146.5048233,144.76345659999998
22.10.04,8:00:00,4.1,28.0,91,20.4,66.7,,
01.02.05,6:00:00,1.1,4.2,122,2.0,64.9,,
25.09.04,9:00:00,1.0,4.6,52,16.9,47.7,,
04.10.04,12:00:00,-200.0,22.1,-200,25.8,44.7,,
11.11.04,19:00:00,3.5,16.1,166,12.0,73.3,,
21.09.04,5:00:00,0.6,3.3,53,18.8,63.0,,
01.07.04,2:00:00,0.9,5.1,50,26.9,49.3,,
15.01.05,5:00:00,1.1,3.1,92,3.4,81.4,,
23.09.04,6:00:00,0.9,6.3,66,21.3,63.2,,
08.02.05,11:00:00,1.6,6.9,180,10.5,33.4,,
18.12.04,5:00:00,1.3,6.1,90,10.8,80.0,,
